run_id,model,status,strategy_name,task,backbone,pretrained,image_size,batch_size,learning_rate,fine_tuning_learning_rate,weight_decay,epochs,head_epochs,dropout,loss,selection_metric,early_stopping_patience,early_stopping_min_delta,scheduler_patience,scheduler_factor,input_mode,num_workers,optimizer,weighted_sampling,scheduler,augmentation.crop_scale,augmentation.rotation_degrees,seed,models_root,summary_path,run_name,run_directory,class_names,class_weights,checkpoint_path,device,metrics.loss,metrics.sample_count,metrics.labels,metrics.class_names,metrics.class_coverage_complete,metrics.missing_classes,metrics.accuracy,metrics.balanced_accuracy,metrics.macro_precision,metrics.macro_recall,metrics.macro_f1,metrics.weighted_f1,metrics.confusion_matrix,metrics.class_metrics,metrics.roc_auc,metrics.pr_auc,metrics.sensitivity,metrics.specificity,metrics.positive_predictive_value,metrics.negative_predictive_value,metrics.brier_score,metrics.calibration_error,timing.training_seconds,timing.epoch_seconds,timing.validation_seconds,timing.evaluation_seconds,timing.inference_model_only_batch_size_1.device,timing.inference_model_only_batch_size_1.warmup_runs,timing.inference_model_only_batch_size_1.timed_samples,timing.inference_model_only_batch_size_1.mean_ms,timing.inference_model_only_batch_size_1.median_ms,timing.inference_model_only_batch_size_1.p95_ms,timing.total_experiment_seconds,best_epoch,best_checkpoint,leakage_free,head_learning_rate,backbone_learning_rate,unfreeze_last_blocks,metadata_fields,metadata_embedding_dim,metadata_width,fusion_width,metadata_dropout,ablation,metadata_preprocessor.fields,metadata_preprocessor.age_mean,metadata_preprocessor.age_std,metadata_preprocessor.vocabularies.sex.female,metadata_preprocessor.vocabularies.sex.male,metadata_preprocessor.vocabularies.anatomical_site.head/neck,metadata_preprocessor.vocabularies.anatomical_site.lower extremity,metadata_preprocessor.vocabularies.anatomical_site.oral/genital,metadata_preprocessor.vocabularies.anatomical_site.upper extremity,metadata_preprocessor.missing_value_policy.age,metadata_preprocessor.missing_value_policy.categorical,metadata_preprocessor.missing_value_policy.unknown_category,normal_label_strengths,source_balanced_sampling,report_source_metrics,metrics.lesion_sensitivity,metrics.normal_skin_specificity,metrics.normal_skin_false_positive_rate,metrics.precision,metrics.recall,metrics.f1,metrics.no_target_lesion_specificity,metrics.false_positive_rate,metrics.false_negative_rate,include_hard_negatives,gate_sampling,hard_negative_fraction,confidence_loss_weighting,label_strength_weights.strong,label_strength_weights.moderate,label_strength_weights.weak,label_strength_weights.auxiliary,label_strength_weights.ambiguous,sampler_num_samples,metadata_preprocessor.vocabularies.sex.FEMALE,metadata_preprocessor.vocabularies.sex.MALE,metadata_preprocessor.vocabularies.anatomical_site.ABDOMEN,metadata_preprocessor.vocabularies.anatomical_site.ARM,metadata_preprocessor.vocabularies.anatomical_site.BACK,metadata_preprocessor.vocabularies.anatomical_site.CHEST,metadata_preprocessor.vocabularies.anatomical_site.EAR,metadata_preprocessor.vocabularies.anatomical_site.FACE,metadata_preprocessor.vocabularies.anatomical_site.FOOT,metadata_preprocessor.vocabularies.anatomical_site.FOREARM,metadata_preprocessor.vocabularies.anatomical_site.HAND,metadata_preprocessor.vocabularies.anatomical_site.LIP,metadata_preprocessor.vocabularies.anatomical_site.NECK,metadata_preprocessor.vocabularies.anatomical_site.NOSE,metadata_preprocessor.vocabularies.anatomical_site.SCALP,metadata_preprocessor.vocabularies.anatomical_site.THIGH,metadata_preprocessor.vocabularies.skin_tone.1.0,metadata_preprocessor.vocabularies.skin_tone.2.0,metadata_preprocessor.vocabularies.skin_tone.3.0,metadata_preprocessor.vocabularies.skin_tone.4.0,metadata_preprocessor.vocabularies.skin_tone.5.0
,,complete,efficientnet,diagnosis_binary,efficientnet_v2_s,False,224.0,16.0,0.0003,3e-05,1e-05,1.0,1.0,0.2,cross_entropy,macro_f1,5.0,0.001,2.0,0.5,full_image,0.0,adamw,False,reduce_on_plateau,"[0.75, 1.0]",20.0,42.0,models,results/experiment_summary.csv,20260920T034840827750Z_efficientnet,results\runs\20260920T034840827750Z\efficientnet,"['benign', 'malignant']",,models\efficientnet\efficientnet_efficientnet_v2_s_20260920T034840827750Z_efficientnet.pt,cuda,0.5945328153096713,780.0,"[0, 1]","['benign', 'malignant']",True,[],0.7205128205128205,0.5,0.7205128205128205,0.5,0.4187779433681073,0.6034697542894264,"[[0, 218], [0, 562]]","[{'class': 0, 'class_name': 'benign', 'precision': None, 'recall': 0.0, 'f1': 0.0, 'support': 218}, {'class': 1, 'class_name': 'malignant', 'precision': 0.7205128205128205, 'recall': 1.0, 'f1': 0.8375558867362146, 'support': 562}]",0.4747543178033889,0.6896766202153308,1.0,0.0,0.7205128205128205,,0.20222903878322,0.0291667108352367,172.68842149999546,[172.40880579999794],22.87832139999955,30.783275599998888,cuda,3.0,20.0,23.98849999990489,22.50445000026957,36.296405001485255,225.0377834999963,1.0,models\efficientnet\efficientnet_efficientnet_v2_s_20260920T034840827750Z_efficientnet.pt,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,complete,convnext,diagnosis_binary,convnext_tiny,False,224.0,16.0,0.0003,3e-05,1e-05,1.0,1.0,0.2,cross_entropy,macro_f1,5.0,0.001,2.0,0.5,full_image,0.0,adamw,False,reduce_on_plateau,"[0.75, 1.0]",20.0,42.0,models,results/experiment_summary.csv,20260920T035458609201Z_convnext,results\runs\20260920T035458609201Z\convnext,"['benign', 'malignant']",,models\convnext\convnext_convnext_tiny_20260920T035458609201Z_convnext.pt,cuda,0.5709180000500801,780.0,"[0, 1]","['benign', 'malignant']",True,[],0.7153846153846154,0.5160958568676745,0.5823863636363636,0.5160958568676745,0.471267175572519,0.6297132119788609,"[[14, 204], [18, 544]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.4375, 'recall': 0.06422018348623854, 'f1': 0.112, 'support': 218}, {'class': 1, 'class_name': 'malignant', 'precision': 0.7272727272727273, 'recall': 0.9679715302491103, 'f1': 0.8305343511450382, 'support': 562}]",0.6335784713833296,0.8096759867458168,0.9679715302491104,0.0642201834862385,0.7272727272727273,0.4375,0.19288665437417,0.0146142388765628,54.451572599995416,[54.27115749999939],6.12156959999993,6.231112699999358,cuda,3.0,20.0,5.975124999531545,5.747499999415595,6.871000003957307,73.34650880000117,1.0,models\convnext\convnext_convnext_tiny_20260920T035458609201Z_convnext.pt,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,complete,dinov2,diagnosis_binary,dinov2_vits14,True,224.0,8.0,,,0.0001,1.0,,0.2,weighted_cross_entropy,macro_f1,4.0,0.001,2.0,0.5,,0.0,adamw,False,reduce_on_plateau,"[0.75, 1.0]",20.0,42.0,models,results/experiment_summary.csv,20260920T035715277846Z_dinov2,results\runs\20260920T035715277846Z\dinov2,"['benign', 'malignant']",,models\dinov2\dinov2_dinov2_vits14_20260920T035715277846Z_dinov2.pt,cuda,0.5424226985527919,780.0,"[0, 1]","['benign', 'malignant']",True,[],0.7282051282051282,0.7383851905057299,0.6973325045269047,0.7383851905057299,0.7008163501621121,0.7407389757841356,"[[166, 52], [160, 402]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.50920245398773, 'recall': 0.7614678899082569, 'f1': 0.6102941176470589, 'support': 218}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8854625550660793, 'recall': 0.7153024911032029, 'f1': 0.7913385826771654, 'support': 562}]",0.8045112475105294,0.8960238447041358,0.7153024911032029,0.7614678899082569,0.8854625550660793,0.50920245398773,0.1957835346157032,0.0591259147112186,37.84051170000021,[37.68232129999524],5.364701399994374,5.373534199999995,cuda,3.0,20.0,5.629619999672286,5.4671500001859386,6.441694996465231,79.62599510000291,1.0,models\dinov2\dinov2_dinov2_vits14_20260920T035715277846Z_dinov2.pt,True,0.0003,1e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,complete,multimodal,diagnosis_binary,dinov2_vits14,True,224.0,8.0,,,0.0001,1.0,,0.2,weighted_cross_entropy,macro_f1,5.0,0.001,2.0,0.5,,0.0,adamw,False,reduce_on_plateau,"[0.75, 1.0]",20.0,42.0,models,results/experiment_summary.csv,20260920T040054729528Z_multimodal,results\runs\20260920T040054729528Z\multimodal,"['benign', 'malignant']",,models\multimodal\multimodal_dinov2_vits14_20260920T040054729528Z_multimodal.pt,cuda,0.5251928832286443,780.0,"[0, 1]","['0', '1']",True,[],0.7628205128205128,0.7385402722909661,0.7141417842095622,0.7385402722909661,0.7226018904594658,0.7691850759550892,"[[149, 69], [116, 446]]","[{'class': 0, 'class_name': '0', 'precision': 0.5622641509433962, 'recall': 0.6834862385321101, 'f1': 0.6169772256728778, 'support': 218}, {'class': 1, 'class_name': '1', 'precision': 0.8660194174757282, 'recall': 0.7935943060498221, 'f1': 0.8282265552460538, 'support': 562}]",0.8137631003297529,0.8975214603337315,0.7935943060498221,0.6834862385321101,0.8660194174757282,0.5622641509433962,0.1707116143629498,0.0305805032069866,45.907209899996815,[39.52623320000566],5.92377320000378,5.4819252000015695,cuda,3.0,20.0,5.9911800006375415,5.585550003161188,7.036675000199468,78.85638319999998,1.0,models\multimodal\multimodal_dinov2_vits14_20260920T040054729528Z_multimodal.pt,True,0.0003,1e-05,0.0,"['age', 'sex', 'anatomical_site', 'skin_tone']",16.0,64.0,256.0,0.2,image_plus_metadata,"['age', 'sex', 'anatomical_site', 'skin_tone']",61.03249928098936,15.46222360829458,2.0,3.0,2.0,3.0,4.0,5.0,training_mean_with_missing_indicator,dedicated_missing_id_0,dedicated_unknown_id_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,complete,lesion_presence,lesion_presence,efficientnet_v2_s,True,224.0,16.0,0.0003,3e-05,1e-05,1.0,1.0,0.2,cross_entropy,macro_f1,5.0,0.001,2.0,0.5,full_image,0.0,adamw,True,reduce_on_plateau,"[0.75, 1.0]",20.0,42.0,models,results/experiment_summary.csv,20260920T040328150012Z_lesion_presence,results\runs\20260920T040328150012Z\lesion_presence,"['no_lesion', 'lesion_present']",,models\lesion_presence\lesion_presence_efficientnet_v2_s_20260920T040328150012Z_lesion_presence.pt,cuda,0.5418640480256215,2132.0,"[0, 1]","['no_lesion', 'lesion_present']",True,[],0.649624765478424,0.6144758558270776,0.5103473299634653,0.6144758558270776,0.4247484680525982,0.769232638602888,"[[26, 19], [728, 1359]]","[{'class': 0, 'class_name': 'no_lesion', 'precision': 0.034482758620689655, 'recall': 0.5777777777777777, 'f1': 0.06508135168961202, 'support': 45}, {'class': 1, 'class_name': 'lesion_present', 'precision': 0.9862119013062409, 'recall': 0.6511739338763776, 'f1': 0.7844155844155845, 'support': 2087}]",0.6885108875046585,0.9910710971874808,0.6511739338763776,0.5777777777777777,0.9862119013062408,0.0344827586206896,0.1886991155531786,0.1085742027909402,303.9439110000021,[303.65232749999996],42.49882189999335,47.40257159999601,cuda,3.0,20.0,30.28969499973755,26.93750000253204,45.23658000216529,395.4685448999953,1.0,models\lesion_presence\lesion_presence_efficientnet_v2_s_20260920T040328150012Z_lesion_presence.pt,True,,,,,,,,,,,,,,,,,,,,,,"['strong', 'moderate', 'weak']",False,True,0.6511739338763776,0.5777777777777777,0.4222222222222223,0.9862119013062408,0.6511739338763776,0.7844155844155845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,complete,lesion_presence,lesion_presence,efficientnet_v2_s,True,224.0,16.0,0.0003,3e-05,1e-05,1.0,1.0,0.2,cross_entropy,macro_f1,5.0,0.001,2.0,0.5,full_image,0.0,adamw,True,reduce_on_plateau,"[0.75, 1.0]",20.0,42.0,models,results/experiment_summary.csv,20260920T052327247719Z_lesion_presence,results\runs\20260920T052327247719Z\lesion_presence,"['no_target_lesion', 'target_lesion_present']",,models\lesion_presence\lesion_presence_efficientnet_v2_s_20260920T052327247719Z_lesion_presence.pt,cpu,0.1368686648360787,1185.0,"[0, 1]","['no_target_lesion', 'target_lesion_present']",True,[],0.9746835443037974,0.9731055900621116,0.7693956370426959,0.9731055900621116,0.8403366628341478,0.978144181544966,"[[34, 1], [29, 1121]]","[{'class': 0, 'class_name': 'no_target_lesion', 'precision': 0.5396825396825397, 'recall': 0.9714285714285714, 'f1': 0.6938775510204082, 'support': 35}, {'class': 1, 'class_name': 'target_lesion_present', 'precision': 0.9991087344028521, 'recall': 0.9747826086956521, 'f1': 0.9867957746478874, 'support': 1150}]",0.9864347826086955,0.9995436890597676,0.974782608695652,0.9714285714285714,0.999108734402852,0.5396825396825397,0.0298988420856413,0.0660644738986019,282.298463500003,[282.0987518999973],39.43587639999896,40.003831300004094,cpu,3.0,20.0,42.63447499943141,42.26054999890039,46.92680499683775,363.3059570999976,1.0,models\lesion_presence\lesion_presence_efficientnet_v2_s_20260920T052327247719Z_lesion_presence.pt,True,,,,,,,,,,,,,,,,,,,,,,"['strong', 'moderate', 'weak']",False,True,0.974782608695652,,,0.999108734402852,0.974782608695652,0.9867957746478874,0.9714285714285714,0.0285714285714285,0.0252173913043478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,complete,lesion_presence,lesion_presence,efficientnet_v2_s,True,224.0,16.0,0.0003,3e-05,1e-05,1.0,1.0,0.2,cross_entropy,macro_f1,5.0,0.001,2.0,0.5,full_image,0.0,adamw,True,reduce_on_plateau,"[0.75, 1.0]",20.0,42.0,models,results/experiment_summary.csv,20260920T213047208601Z_lesion_presence,results\runs\20260920T213047208601Z\lesion_presence,"['no_target_lesion', 'target_lesion_present']",,models\lesion_presence\lesion_presence_efficientnet_v2_s_20260920T213047208601Z_lesion_presence.pt,cpu,0.2010636531424382,1189.0,"[0, 1]","['no_target_lesion', 'target_lesion_present']",True,[],0.95878889823381,0.8338990426457789,0.7100465370928004,0.8338990426457789,0.7558879601114532,0.9634683479137534,"[[28, 12], [37, 1112]]","[{'class': 0, 'class_name': 'no_target_lesion', 'precision': 0.4307692307692308, 'recall': 0.7, 'f1': 0.5333333333333333, 'support': 40}, {'class': 1, 'class_name': 'target_lesion_present', 'precision': 0.9893238434163701, 'recall': 0.9677980852915579, 'f1': 0.9784425868895732, 'support': 1149}]",0.9503046127067014,0.9978939933506404,0.967798085291558,0.7,0.98932384341637,0.4307692307692308,0.0483771900326631,0.1135281225129072,1530.216770899999,[1530.0882023000013],116.99062200000115,136.88366010000027,cpu,3.0,20.0,241.26969000044485,202.50714999929187,441.4403899998433,1853.6761942999983,1.0,models\lesion_presence\lesion_presence_efficientnet_v2_s_20260920T213047208601Z_lesion_presence.pt,True,,,,,,,,,,,,,,,,,,,,,,"['strong', 'moderate', 'weak']",True,True,0.967798085291558,,,0.98932384341637,0.967798085291558,0.9784425868895732,0.7,0.3,0.0322019147084421,True,True,0.3,True,1.0,0.75,0.4,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,
,,complete,lesion_presence,lesion_presence,efficientnet_v2_s,True,224.0,16.0,0.0003,3e-05,1e-05,1.0,1.0,0.2,cross_entropy,macro_f1,5.0,0.001,2.0,0.5,full_image,2.0,adamw,True,reduce_on_plateau,"[0.75, 1.0]",20.0,42.0,models,results/experiment_summary.csv,20260921T011247485453Z_lesion_presence,results\runs\20260921T011247485453Z\lesion_presence,"['no_target_lesion', 'target_lesion_present']",,models\lesion_presence\lesion_presence_efficientnet_v2_s_20260921T011247485453Z_lesion_presence.pt,cpu,0.569037858143847,2283.0,"[0, 1]","['no_target_lesion', 'target_lesion_present']",True,[],0.6793692509855453,0.6771464753060363,0.7765943423584931,0.6771464753060363,0.646827449786975,0.6476257335104609,"[[429, 704], [28, 1122]]","[{'class': 0, 'class_name': 'no_target_lesion', 'precision': 0.9387308533916849, 'recall': 0.3786407766990291, 'f1': 0.539622641509434, 'support': 1133}, {'class': 1, 'class_name': 'target_lesion_present', 'precision': 0.6144578313253012, 'recall': 0.9756521739130435, 'f1': 0.7540322580645161, 'support': 1150}]",0.8967669519168042,0.9020584833263936,0.9756521739130436,0.3786407766990291,0.6144578313253012,0.9387308533916848,0.1939118457355984,0.062491973815547,316.1513004999979,[316.028036300002],197.9891482000021,361.7241252999957,cpu,3.0,20.0,522.2392249997938,285.5171499977587,1120.3066150017562,948.6385347000032,1.0,models\lesion_presence\lesion_presence_efficientnet_v2_s_20260921T011247485453Z_lesion_presence.pt,True,,,,,,,,,,,,,,,,,,,,,,"['strong', 'moderate', 'weak']",True,True,0.9756521739130436,,,0.6144578313253012,0.9756521739130436,0.7540322580645161,0.3786407766990291,0.6213592233009708,0.0243478260869565,True,True,0.3,True,1.0,0.75,0.4,0.25,0.0,1024.0,,,,,,,,,,,,,,,,,,,,,
,,complete,efficientnet,diagnosis_binary,efficientnet_v2_s,True,224.0,16.0,0.0003,3e-05,1e-05,20.0,3.0,0.2,cross_entropy,macro_f1,5.0,0.001,2.0,0.5,full_image,0.0,adamw,False,reduce_on_plateau,"[0.75, 1.0]",20.0,42.0,models,results/experiment_summary.csv,20260921T053334483303Z_efficientnet,results\runs\20260921T053334483303Z\efficientnet,"['benign', 'malignant']",,models\efficientnet\efficientnet_efficientnet_v2_s_20260921T053334483303Z_efficientnet.pt,cuda,0.4049400497968543,1011.0,"[0, 1]","['benign', 'malignant']",True,[],0.8407517309594461,0.8028401484726786,0.7924305188318937,0.8028401484726786,0.7973208715759117,0.8421437456832773,"[[191, 73], [88, 659]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.6845878136200717, 'recall': 0.7234848484848485, 'f1': 0.7034990791896869, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.9002732240437158, 'recall': 0.8821954484605087, 'f1': 0.8911426639621366, 'support': 747}]",0.8720411950833639,0.9385635439069818,0.8821954484605087,0.7234848484848485,0.9002732240437158,0.6845878136200717,0.1196522646301486,0.0410731638220721,1796.4322589000003,"[139.9026148999983, 134.91034850000142, 115.93521479999617, 198.54097219999676, 170.452838300007, 146.4223351000037, 128.49049899999955, 121.16188970000076, 116.8692130000054, 109.4269351000039, 82.9180395000003, 80.64490230000229, 81.33597000000009, 81.19530899999518, 83.12336389999837]",225.05616299998653,12.47776999999769,cuda,3.0,20.0,13.255930000377704,13.01054999930784,14.310324999678416,1823.1217780000009,10.0,models\efficientnet\efficientnet_efficientnet_v2_s_20260921T053334483303Z_efficientnet.pt,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,complete,convnext,diagnosis_binary,convnext_tiny,True,224.0,16.0,0.0003,3e-05,1e-05,20.0,3.0,0.2,cross_entropy,macro_f1,5.0,0.001,2.0,0.5,full_image,0.0,adamw,False,reduce_on_plateau,"[0.75, 1.0]",20.0,42.0,models,results/experiment_summary.csv,20260921T060517413359Z_convnext,results\runs\20260921T060517413359Z\convnext,"['benign', 'malignant']",,models\convnext\convnext_convnext_tiny_20260921T060517413359Z_convnext.pt,cuda,0.4254711454865015,1011.0,"[0, 1]","['benign', 'malignant']",True,[],0.8783382789317508,0.8380719849093343,0.8440560847980679,0.8380719849093343,0.8409850886357272,0.8778046619275218,"[[199, 65], [58, 689]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.77431906614786, 'recall': 0.7537878787878788, 'f1': 0.763915547024952, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.9137931034482759, 'recall': 0.9223560910307899, 'f1': 0.9180546302465024, 'support': 747}]",0.8973951360999555,0.9509119340761532,0.92235609103079,0.7537878787878788,0.913793103448276,0.77431906614786,0.1023003502567591,0.0689152616539529,1760.4555353000032,"[59.46928879999905, 76.16707369999494, 85.09018510000169, 107.68075939999835, 100.20834209999884, 98.0988331999979, 119.2187436000022, 127.381315300001, 111.12931489999755, 129.9832241999975, 112.4927452999982, 95.48204759999498, 106.89955840000039, 120.42169499999727, 96.3632895999981, 101.61500280000473, 107.46902650000266]",231.8035552999864,14.841217799999868,cuda,3.0,20.0,9.308695000072476,9.229999999661231,9.930959998018809,1797.2854052999974,12.0,models\convnext\convnext_convnext_tiny_20260921T060517413359Z_convnext.pt,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
