original_diagnosis,malignant_n,correctly_detected,missed_fn,sensitivity,mean_ensemble_malignant_probability,median_ensemble_malignant_probability,small_sample_flag
atypical-spindle-cell-nevus-of-reed,1,0,1,0.0,0.32055892050266266,0.32055892050266266,True
basal-cell-carcinoma,41,30,11,0.7317073170731707,0.6648614149752671,0.7062190473079681,False
basal-cell-carcinoma-nodular,6,4,2,0.6666666666666666,0.6465197337998284,0.6425614058971405,True
basal-cell-carcinoma-superficial,2,2,0,1.0,0.7340592990318934,0.7340592990318934,True
blastic-plasmacytoid-dendritic-cell-neoplasm,1,0,1,0.0,0.4660444309314092,0.4660444309314092,True
kaposi-sarcoma,6,1,5,0.16666666666666666,0.45792370951837963,0.430640918513139,True
leukemia-cutis,1,0,1,0.0,0.36960752805074054,0.36960752805074054,True
melanoma,7,0,7,0.0,0.3622811656622659,0.37196389089028037,True
melanoma-acral-lentiginous,7,2,5,0.2857142857142857,0.4441875574134645,0.3610452463229497,True
melanoma-in-situ,6,1,5,0.16666666666666666,0.3706725577099456,0.3057229841748873,True
metastatic-carcinoma,5,5,0,1.0,0.7454213837782542,0.7812165915966034,True
mycosis-fungoides,32,6,26,0.1875,0.3345858039004573,0.2777765683519343,False
nodular-melanoma-(nm),1,1,0,1.0,0.8493112524350483,0.8493112524350483,True
sebaceous-carcinoma,1,1,0,1.0,0.673908640940984,0.673908640940984,True
squamous-cell-carcinoma,17,14,3,0.8235294117647058,0.6930101081071531,0.8009333213170369,False
squamous-cell-carcinoma-in-situ,28,25,3,0.8928571428571429,0.706266513803885,0.7524962027867634,False
squamous-cell-carcinoma-keratoacanthoma,8,5,3,0.625,0.6163844420031332,0.6724394901345173,True
subcutaneous-t-cell-lymphoma,1,1,0,1.0,0.6580594778060913,0.6580594778060913,True
