run_id,architecture,checkpoint,best_epoch,validation_macro_f1,validation_balanced_accuracy,validation_accuracy,validation_roc_auc,validation_pr_auc,sensitivity,specificity,benign_f1,malignant_f1,brier_score,calibration_error,inference_latency_ms,training_seconds,unfreeze_last_blocks,metadata_fields,historical_baseline
20260921T060517413359Z_convnext,convnext,models\convnext\convnext_convnext_tiny_20260921T060517413359Z_convnext.pt,12,0.8409850886357272,0.8380719849093343,0.8783382789317508,0.8973951360999555,0.9509119340761532,0.9223560910307899,0.7537878787878788,0.763915547024952,0.9180546302465024,0.10230035025675917,0.06891526165395291,,,,[],True
20260921T224823181902Z_convnext_serious_01,convnext,models\convnext\convnext_convnext_tiny_20260921T224823181902Z_convnext_serious_01.pt,8,0.8206237379619828,0.8379274674455397,0.8545994065281899,0.8947456492637216,0.9521404637474796,0.8728246318607764,0.803030303030303,0.7425569176882661,0.8986905582356995,0.11696183506992634,0.06303600853439847,,,,[],False
20260921T224823181902Z_multimodal_serious_01,multimodal,models\multimodal\multimodal_dinov2_vits14_20260921T224823181902Z_multimodal_serious_01.pt,3,0.8186537228086577,0.798983814044055,0.8694362017804155,0.9013047138047138,0.9527027244813168,0.9464524765729585,0.6515151515151515,0.7226890756302521,0.9146183699870634,0.09940391201012932,0.012483469810259506,,,2.0,"[""age"", ""sex"", ""anatomical_site""]",False
20260921T224823181902Z_multimodal_serious_02,multimodal,models\multimodal\multimodal_dinov2_vits14_20260921T224823181902Z_multimodal_serious_02.pt,9,0.813474568183987,0.8123250578069856,0.8565776458951533,0.8952299095371384,0.9493267864789157,0.9049531459170014,0.7196969696969697,0.7238095238095238,0.9031396125584502,0.1065175526452116,0.023663241301988373,,,0.0,"[""age"", ""sex"", ""anatomical_site""]",False
20260921T053334483303Z_efficientnet,efficientnet,models\efficientnet\efficientnet_efficientnet_v2_s_20260921T053334483303Z_efficientnet.pt,10,0.7973208715759117,0.8028401484726786,0.8407517309594461,0.8720411950833639,0.9385635439069818,0.8821954484605087,0.7234848484848485,0.7034990791896869,0.8911426639621366,0.11965226463014861,0.041073163822072184,,,,[],False
20260921T064521050559Z_dinov2,dinov2,models\dinov2\dinov2_dinov2_vits14_20260921T064521050559Z_dinov2.pt,9,0.7819637876333522,0.7999193744675672,0.8219584569732937,0.8708140643381607,0.9430139250245642,0.8460508701472557,0.7537878787878788,0.6885813148788927,0.8753462603878116,0.13409856295288777,0.032793866302799644,,,0.0,[],False
20260921T224823181902Z_dinov2_serious_01,dinov2,models\dinov2\dinov2_dinov2_vits14_20260921T224823181902Z_dinov2_serious_01.pt,9,0.7819637876333522,0.7999193744675672,0.8219584569732937,0.8708140643381607,0.9430139250245642,0.8460508701472557,0.7537878787878788,0.6885813148788927,0.8753462603878116,0.13409856295288777,0.032793866302799644,,,0.0,[],False
20260921T224823181902Z_dinov2_serious_02,dinov2,models\dinov2\dinov2_dinov2_vits14_20260921T224823181902Z_dinov2_serious_02.pt,8,0.7815471045808124,0.8070387611050261,0.8180019782393669,0.8809074682568658,0.9483404596988703,0.8299866131191432,0.7840909090909091,0.6923076923076923,0.8707865168539326,0.15497248978797096,0.13892151287118476,,,2.0,[],False
20260921T224823181902Z_efficientnet_serious_01,efficientnet,models\efficientnet\efficientnet_efficientnet_v2_s_20260921T224823181902Z_efficientnet_serious_01.pt,1,0.7180247835587641,0.744949494949495,0.7606330365974283,0.7891769096588374,0.8877134177254535,0.7777777777777778,0.7121212121212122,0.6084142394822006,0.8276353276353277,0.18383211817356468,0.0912364173006233,,,,[],False
20260920T035715277846Z_dinov2,dinov2,models\dinov2\dinov2_dinov2_vits14_20260920T035715277846Z_dinov2.pt,1,0.7008163501621121,0.7383851905057299,0.7282051282051282,0.8045112475105294,0.8960238447041358,0.7153024911032029,0.7614678899082569,0.6102941176470589,0.7913385826771654,0.19578353461570325,0.05912591471121861,,,0.0,[],False
20260921T224823181902Z_convnext_serious_02,convnext,models\convnext\convnext_convnext_tiny_20260921T224823181902Z_convnext_serious_02.pt,16,0.6038214645439648,0.6990994280150906,0.6132542037586548,0.8498615674820494,0.9294725023134953,0.5194109772423026,0.8787878787878788,0.5426900584795321,0.6649528706083976,0.2238886925231467,0.024642517965224344,,,,[],False
20260921T224823181902Z_efficientnet_serious_02,efficientnet,models\efficientnet\efficientnet_efficientnet_v2_s_20260921T224823181902Z_efficientnet_serious_02.pt,6,0.5941676263932044,0.6754898381404406,0.6073194856577646,0.772532047381445,0.8819722405970434,0.5327978580990629,0.8181818181818182,0.5211097708082026,0.6672254819782062,0.2359924980298613,0.028026071311694118,,,,[],False
20260920T035458609201Z_convnext,convnext,models\convnext\convnext_convnext_tiny_20260920T035458609201Z_convnext.pt,1,0.47126717557251907,0.5160958568676745,0.7153846153846154,0.6335784713833296,0.8096759867458168,0.9679715302491103,0.06422018348623854,0.112,0.8305343511450382,0.19288665437417002,0.014614238876562873,,,,[],False
20260920T034840827750Z_efficientnet,efficientnet,models\efficientnet\efficientnet_efficientnet_v2_s_20260920T034840827750Z_efficientnet.pt,1,0.4187779433681073,0.5,0.7205128205128205,0.47475431780338895,0.6896766202153308,1.0,0.0,0.0,0.8375558867362146,0.20222903878322002,0.029166710835236778,,,,[],False
