threshold,loss,sample_count,labels,class_names,class_coverage_complete,missing_classes,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,confusion_matrix,class_metrics,roc_auc,pr_auc,sensitivity,specificity,positive_predictive_value,negative_predictive_value,brier_score,calibration_error
0.05,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.7784371909000989,0.5769821711086771,0.8730281586318738,0.5769821711086771,0.5687188628365099,0.7123982280205007,"[[41, 223], [1, 746]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.9761904761904762, 'recall': 0.1553030303030303, 'f1': 0.2679738562091503, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.7698658410732714, 'recall': 0.998661311914324, 'f1': 0.8694638694638694, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.998661311914324,0.1553030303030303,0.7698658410732714,0.9761904761904762,0.09200099398405014,0.027125194205287903
0.06,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.7922848664688428,0.6034973226238286,0.881647344801795,0.6034973226238286,0.6101828730904818,0.7374697946559642,"[[55, 209], [1, 746]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.9821428571428571, 'recall': 0.20833333333333334, 'f1': 0.34375, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.7811518324607329, 'recall': 0.998661311914324, 'f1': 0.8766157461809636, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.998661311914324,0.20833333333333334,0.7811518324607329,0.9821428571428571,0.09200099398405014,0.027125194205287903
0.07,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.798219584569733,0.614860958987465,0.8849807947244978,0.614860958987465,0.6269750549832157,0.7477211977427599,"[[61, 203], [1, 746]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.9838709677419355, 'recall': 0.23106060606060605, 'f1': 0.37423312883435583, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.78609062170706, 'recall': 0.998661311914324, 'f1': 0.8797169811320755, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.998661311914324,0.23106060606060605,0.78609062170706,0.9838709677419355,0.09200099398405014,0.027125194205287903
0.08,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8041543026706232,0.6262245953511014,0.8881931881978666,0.6262245953511014,0.6432273472588579,0.7577011609022786,"[[67, 197], [1, 746]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.9852941176470589, 'recall': 0.2537878787878788, 'f1': 0.4036144578313253, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.7910922587486744, 'recall': 0.998661311914324, 'f1': 0.8828402366863906, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.998661311914324,0.2537878787878788,0.7910922587486744,0.9852941176470589,0.09200099398405014,0.027125194205287903
0.09,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8090999010880316,0.6369188876718996,0.8846367521367522,0.6369188876718996,0.6580011462884966,0.7666033763006626,"[[73, 191], [2, 745]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.9733333333333334, 'recall': 0.2765151515151515, 'f1': 0.4306784660766962, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.7959401709401709, 'recall': 0.9973226238286479, 'f1': 0.8853238265002971, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9973226238286479,0.2765151515151515,0.7959401709401709,0.9733333333333334,0.09200099398405014,0.027125194205287903
0.1,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8130563798219584,0.6457192405987586,0.8814814814814815,0.6457192405987586,0.6697363304036712,0.773675645522339,"[[78, 186], [3, 744]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.9629629629629629, 'recall': 0.29545454545454547, 'f1': 0.45217391304347826, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8, 'recall': 0.9959839357429718, 'f1': 0.8872987477638641, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9959839357429718,0.29545454545454547,0.8,0.9629629629629629,0.09200099398405014,0.027125194205287903
0.11,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8219584569732937,0.6639892904953146,0.8825046127643469,0.6639892904953146,0.6931694025924977,0.7881390411664282,"[[88, 176], [4, 743]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.9565217391304348, 'recall': 0.3333333333333333, 'f1': 0.4943820224719101, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.808487486398259, 'recall': 0.9946452476572959, 'f1': 0.8919567827130852, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9946452476572959,0.3333333333333333,0.808487486398259,0.9565217391304348,0.09200099398405014,0.027125194205287903
0.12,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8269040553907022,0.674683582816113,0.8815457203615098,0.674683582816113,0.7062105520103219,0.7961719133262536,"[[94, 170], [5, 742]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.9494949494949495, 'recall': 0.3560606060606061, 'f1': 0.5179063360881543, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8135964912280702, 'recall': 0.9933065595716198, 'f1': 0.8945147679324894, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9933065595716198,0.3560606060606061,0.8135964912280702,0.9494949494949495,0.09200099398405014,0.027125194205287903
0.13,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8298714144411474,0.6803654009979312,0.8836310101598395,0.6803654009979312,0.7130949552546131,0.8005415130640643,"[[97, 167], [5, 742]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.9509803921568627, 'recall': 0.36742424242424243, 'f1': 0.5300546448087432, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8162816281628162, 'recall': 0.9933065595716198, 'f1': 0.8961352657004831, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9933065595716198,0.36742424242424243,0.8162816281628162,0.9509803921568627,0.09200099398405014,0.027125194205287903
0.14,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8298714144411474,0.6828145917001338,0.8758209110809966,0.6828145917001338,0.7155094561874222,0.8016823514082478,"[[99, 165], [7, 740]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.9339622641509434, 'recall': 0.375, 'f1': 0.5351351351351351, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8176795580110497, 'recall': 0.9906291834002677, 'f1': 0.8958837772397095, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9906291834002677,0.375,0.8176795580110497,0.9339622641509434,0.09200099398405014,0.027125194205287903
0.15,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8358061325420376,0.6941782280637703,0.8803184093437153,0.6941782280637703,0.7288300457588996,0.810199258225444,"[[105, 159], [7, 740]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.9375, 'recall': 0.3977272727272727, 'f1': 0.5585106382978723, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8231368186874305, 'recall': 0.9906291834002677, 'f1': 0.8991494532199271, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9906291834002677,0.3977272727272727,0.8231368186874305,0.9375,0.09200099398405014,0.027125194205287903
0.16,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8397626112759644,0.7029785809906292,0.8798754911078634,0.7029785809906292,0.738567871280807,0.8162738480974383,"[[110, 154], [8, 739]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.9322033898305084, 'recall': 0.4166666666666667, 'f1': 0.5759162303664922, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8275475923852184, 'recall': 0.9892904953145917, 'f1': 0.901219512195122, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9892904953145917,0.4166666666666667,0.8275475923852184,0.9322033898305084,0.09200099398405014,0.027125194205287903
0.17,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8427299703264095,0.7098849945235487,0.878955174686882,0.7098849945235487,0.7459497901998435,0.8208613719324259,"[[114, 150], [9, 738]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.926829268292683, 'recall': 0.4318181818181818, 'f1': 0.5891472868217055, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.831081081081081, 'recall': 0.9879518072289156, 'f1': 0.9027522935779817, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9879518072289156,0.4318181818181818,0.831081081081081,0.926829268292683,0.09200099398405014,0.027125194205287903
0.18,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8447082096933729,0.7148974686625289,0.877485124879752,0.7148974686625289,0.7511027549665136,0.8240244237295345,"[[117, 147], [10, 737]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.9212598425196851, 'recall': 0.4431818181818182, 'f1': 0.59846547314578, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.833710407239819, 'recall': 0.9866131191432396, 'f1': 0.9037400367872471, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9866131191432396,0.4431818181818182,0.833710407239819,0.9212598425196851,0.09200099398405014,0.027125194205287903
0.19,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8447082096933729,0.718571254715833,0.8691232637402162,0.718571254715833,0.7539593102111994,0.8253464738103685,"[[120, 144], [13, 734]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.9022556390977443, 'recall': 0.45454545454545453, 'f1': 0.6045340050377834, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.835990888382688, 'recall': 0.9825970548862115, 'f1': 0.9033846153846153, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9825970548862115,0.45454545454545453,0.835990888382688,0.9022556390977443,0.09200099398405014,0.027125194205287903
0.2,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.847675568743818,0.7254776682487526,0.8690920862592759,0.7254776682487526,0.7609268472452552,0.8297275573992877,"[[124, 140], [14, 733]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8985507246376812, 'recall': 0.4696969696969697, 'f1': 0.6169154228855721, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8396334478808706, 'recall': 0.9812583668005355, 'f1': 0.9049382716049382, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9812583668005355,0.4696969696969697,0.8396334478808706,0.8985507246376812,0.09200099398405014,0.027125194205287903
0.21,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8496538081107814,0.7317147377388341,0.8660130718954249,0.7317147377388341,0.7666375100225964,0.8331331517748242,"[[128, 136], [16, 731]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8888888888888888, 'recall': 0.48484848484848486, 'f1': 0.6274509803921569, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8431372549019608, 'recall': 0.9785809906291834, 'f1': 0.9058240396530359, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9785809906291834,0.48484848484848486,0.8431372549019608,0.8888888888888888,0.09200099398405014,0.027125194205287903
0.22,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8496538081107814,0.7341639284410368,0.8615530362343804,0.7341639284410368,0.7683290116384249,0.8339047657221448,"[[130, 134], [18, 729]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8783783783783784, 'recall': 0.49242424242424243, 'f1': 0.6310679611650486, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8447276940903824, 'recall': 0.9759036144578314, 'f1': 0.9055900621118013, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9759036144578314,0.49242424242424243,0.8447276940903824,0.8783783783783784,0.09200099398405014,0.027125194205287903
0.23,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8536102868447082,0.7417396860167944,0.8651200906807182,0.7417396860167944,0.7760381741546125,0.8390084773971608,"[[134, 130], [18, 729]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.881578947368421, 'recall': 0.5075757575757576, 'f1': 0.6442307692307693, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8486612339930152, 'recall': 0.9759036144578314, 'f1': 0.9078455790784558, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9759036144578314,0.5075757575757576,0.8486612339930152,0.881578947368421,0.09200099398405014,0.027125194205287903
0.24,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8585558852621167,0.7512093829864914,0.8694901475260669,0.7512093829864914,0.7855066830261965,0.8453079790939075,"[[139, 125], [18, 729]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8853503184713376, 'recall': 0.5265151515151515, 'f1': 0.6603325415676959, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8536299765807962, 'recall': 0.9759036144578314, 'f1': 0.9106808244846971, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9759036144578314,0.5265151515151515,0.8536299765807962,0.8853503184713376,0.09200099398405014,0.027125194205287903
